objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.1,50,20,10,0.6828262480717391,0.5997099294339064,0.6578344068914425,0.5866093280171104
binary,auc,0.0,0.0,0.1,50,20,20,0.7102067914528907,0.6172227100497883,0.6680766938232825,0.5980945768196344
binary,auc,0.0,0.0,0.1,50,20,50,0.7476348499736313,0.6381608042615146,0.6711312738397074,0.5994330251699006
binary,auc,0.0,0.0,0.1,50,20,100,0.7802008463456968,0.6550188903071336,0.6657947034933556,0.5954421545008667
binary,auc,0.0,0.0,0.1,50,50,10,0.6831364672317927,0.5989902327240112,0.6583265705042814,0.5871144139387591
binary,auc,0.0,0.0,0.1,50,50,20,0.7059481287723965,0.6148441204245279,0.6679612272913173,0.5978371026726869
binary,auc,0.0,0.0,0.1,50,50,50,0.7427368893839824,0.6334038930524196,0.6721051165872458,0.599844397268412
binary,auc,0.0,0.0,0.1,50,50,100,0.7727959557027554,0.6533086133504904,0.6650965842681321,0.5932026919562827
binary,auc,0.0,0.0,0.1,50,100,10,0.679263034407406,0.5967297194694442,0.658284829292845,0.5873988252140175
binary,auc,0.0,0.0,0.1,50,100,20,0.7003421137984169,0.6121688953081715,0.667639645965339,0.5997633535208513
binary,auc,0.0,0.0,0.1,50,100,50,0.732642274231675,0.6292302110485831,0.6698633293111014,0.5976779014855333
binary,auc,0.0,0.0,0.1,50,100,100,0.7616170761937351,0.6455826273825872,0.6651375362250611,0.5954962303528794
binary,auc,0.0,0.0,0.2,2,10,10,0.6662815760112647,0.5895137519711579,0.6567694930360061,0.588418133900065
binary,auc,0.0,0.0,0.2,2,10,20,0.678754345604279,0.5980939456163109,0.6639790505906878,0.5940210808168939
binary,auc,0.0,0.0,0.2,2,10,50,0.6907933679541002,0.6059631286091788,0.6698084450919516,0.5976898574730454
binary,auc,0.0,0.0,0.2,2,10,100,0.6987295729441207,0.6100971559880636,0.6706714313802199,0.5961641628418881
binary,auc,0.0,0.0,0.2,2,20,10,0.6662444267741267,0.5895706974806446,0.6569389252576034,0.588418133900065
binary,auc,0.0,0.0,0.2,2,20,20,0.6782307451328192,0.5971028842555417,0.6641485454721303,0.5931111748360905
binary,auc,0.0,0.0,0.2,2,20,50,0.6910020915449849,0.605265974521242,0.6699998225521325,0.5972105275182256
binary,auc,0.0,0.0,0.2,2,20,100,0.6988116818920673,0.6089024672467862,0.6704232345661527,0.5963135110515347
binary,auc,0.0,0.0,0.2,2,50,10,0.666314680029426,0.5898418747295429,0.6565874783015401,0.5888815610215303
binary,auc,0.0,0.0,0.2,2,50,20,0.678913406254602,0.5972863726011356,0.6645082695240325,0.5926227886788934
binary,auc,0.0,0.0,0.2,2,50,50,0.6905407076197094,0.6066253968027854,0.6706393225435674,0.5974832483050297
binary,auc,0.0,0.0,0.2,2,50,100,0.6982476728011972,0.6104474971363058,0.6722456737713517,0.5970038460156133
binary,auc,0.0,0.0,0.2,2,100,10,0.6660571856939116,0.591078648132027,0.656649001262505,0.5898473394407696
binary,auc,0.0,0.0,0.2,2,100,20,0.6783805473480689,0.5978847006025169,0.6639456494187354,0.5939824012727581
binary,auc,0.0,0.0,0.2,2,100,50,0.6906594075643869,0.6076205497031278,0.6699054495322933,0.5974633148401214
binary,auc,0.0,0.0,0.2,2,100,100,0.69744655988594,0.6111638244906404,0.6708052291718144,0.595233790849067
binary,auc,0.0,0.0,0.2,5,10,10,0.6956400389728432,0.606977126590591,0.6647685552642878,0.5951105170435237
binary,auc,0.0,0.0,0.2,5,10,20,0.7192288392500997,0.6199480575072608,0.6681264792327045,0.5980813067810581
binary,auc,0.0,0.0,0.2,5,10,50,0.7498782626528961,0.6357677472441177,0.6653608795880939,0.5941292727938096
binary,auc,0.0,0.0,0.2,5,10,100,0.7829049620681422,0.6545091662029487,0.6557303931868362,0.5872529054022005
binary,auc,0.0,0.0,0.2,5,20,10,0.6957721001846883,0.6056813040491383,0.6646949541455393,0.5968220184012979
binary,auc,0.0,0.0,0.2,5,20,20,0.7157033870687903,0.6177836361326315,0.6676537215859518,0.5988906694110676
binary,auc,0.0,0.0,0.2,5,20,50,0.7478218685242632,0.6354600625335988,0.6657741716603351,0.5933638113494138
binary,auc,0.0,0.0,0.2,5,20,100,0.779189587951846,0.6524056496352574,0.657651180138301,0.5874311591184874
binary,auc,0.0,0.0,0.2,5,50,10,0.6932949056600858,0.605973653688168,0.6643744098107979,0.5976979648030958
binary,auc,0.0,0.0,0.2,5,50,20,0.7096657111174624,0.6156517262087926,0.6689016073954935,0.5987528137486287
binary,auc,0.0,0.0,0.2,5,50,50,0.7367612268260778,0.6298231624814715,0.6698871380266898,0.5965031706281035
binary,auc,0.0,0.0,0.2,5,50,100,0.764240022986889,0.6460665900552812,0.663843815664678,0.5880544347543446
binary,auc,0.0,0.0,0.2,5,100,10,0.6903616302264014,0.6046024567751023,0.6636386371796147,0.5971561528175707
binary,auc,0.0,0.0,0.2,5,100,20,0.7057161063173201,0.6140315972367801,0.6683809973227239,0.5987817233549905
binary,auc,0.0,0.0,0.2,5,100,50,0.731172389513568,0.6283823265361231,0.6674133454325785,0.5963799472175022
binary,auc,0.0,0.0,0.2,5,100,100,0.752113474542376,0.6386883511814894,0.6626729199893068,0.5949464039566138
